"img-link href","photo-count","list-view-price","list-view-date","left","celly","celly 2","celly 3","celly 4","eids-badge__description","he-lazy-image src","eids-badge__label","list-view-header","list-view-location","img-wrp href","he-lazy-image src 2","listing-card--owner-info__firm-name","he-lazy-image src 3"
"https://www.hepsiemlak.com/antalya-muratpasa-caglayan-kiralik/daire/43794-841","41","28.500","21-05-2025","Kiralık Daire","2 +
                          1","125 m²","15
                        Yaşında","2. Kat","Elektronik İlan Doğrulama Sistemi yetki doğrulaması yapılmıştır.","https://hecdn01.hemlak.com/img/eids-logo-mini.png","EİDS onaylı","Hakan Gayrimenkul Güvencesiyle Ayrı Mutfaklı Çift Banyolu","Antalya / Muratpaşa / Çağlayan Mah.","","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/1/1/9/1/4/7/3/4/6ff20a1a-a25c-440e-9be0-dabc5e83c4f5.jpg","",""
"https://www.hepsiemlak.com/antalya-alanya-demirtas-kiralik/daire/0-44636863","13","13.000","16-05-2025","Kiralık Daire","2 +
                          1","63 m²","Sıfır Bina","2. Kat","Elektronik İlan Doğrulama Sistemi yetki doğrulaması yapılmıştır.","https://hecdn01.hemlak.com/img/eids-logo-mini.png","EİDS onaylı","Demirtaş Merkez'de Sahibinden Kiralık 2+1 Depozito Yok","Antalya / Alanya / Demirtaş Mah.","","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/3/6/8/6/3/6/4/4/1747333994118-44636863.jpg","",""
"https://www.hepsiemlak.com/antalya-kumluca-cumhuriyet-kiralik/daire/82047-298","26","14.500","21-05-2025","Kiralık Daire","2 +
                          1","185 m²","1
                        Yaşında","3. Kat","Elektronik İlan Doğrulama Sistemi yetki doğrulaması yapılmıştır.","https://hecdn01.hemlak.com/img/eids-logo-mini.png","EİDS onaylı","Özgür Emlak ‘tan 2+1 Manzaralı Yeni Ayrı Mutfaklı Albenili","Antalya / Kumluca / Cumhuriyet Mah.","","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/3/9/9/4/2/6/4/4/1747159552-608049-44624993.jpeg","",""
"https://www.hepsiemlak.com/antalya-serik-belek-kiralik/villa/150597-95","43","11.500","19-05-2025","Kiralık Villa","4 +
                          1","400 m²","10
                        Yaşında","","Elektronik İlan Doğrulama Sistemi yetki doğrulaması yapılmıştır.","https://hecdn01.hemlak.com/img/eids-logo-mini.png","EİDS onaylı","Belek'te Kiralık Lüks Villa","Antalya / Serik / Belek Mah.","","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/0/8/6/4/5/6/4/4/e642ba00-32a8-4803-a67a-1aba4f7333a4.jpg","",""
"https://www.hepsiemlak.com/antalya-konyaalti-liman-kiralik/daire/131138-214","35","35.000","16-05-2025","Kiralık Daire","2 +
                          1","125 m²","10
                        Yaşında","4. Kat","","","","Konyaaltı Limanda 2+1 Eşyalı, 2 Banyo Wc, Havuzlu, Denize 500 Mt, Türk Hamam, Sauna, Fıtness","Antalya / Konyaaltı / Liman Mah.","https://www.hepsiemlak.com/emlak-ofisi/konyaalti-homes-131138","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/5/6/1/5/6/5/4/4/1746193732945-44565165.jpg","Konyaaltı Homes","https://hecdnnw.hemlak.com/mncropresize/77/67/logo/8/3/1/1/3/1/04d6f43e-a870-40f4-a392-29f526c4fb3f.jpg"
"https://www.hepsiemlak.com/antalya-alanya-mahmutlar-kiralik/daire/142040-232","11","15.000","19-05-2025","Kiralık Daire","1 +
                          1","70 m²","5
                        Yaşında","2. Kat","Elektronik İlan Doğrulama Sistemi yetki doğrulaması yapılmıştır.","https://hecdn01.hemlak.com/img/eids-logo-mini.png","EİDS onaylı","Tomiris Rezidans'ta Kiralık 1+1 Eşyalı Daire Mahmutlar","Antalya / Alanya / Mahmutlar Mah.","","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/6/5/1/5/2/5/4/4/5b2d2c20-ae7a-4f3e-8f0d-3dc3475699df.jpg","",""
"https://www.hepsiemlak.com/antalya-konyaalti-liman-kiralik/daire/27323-3314","28","35.000","21-05-2025","Kiralık Daire","2 +
                          1","120 m²","15
                        Yaşında","5. Kat","Elektronik İlan Doğrulama Sistemi yetki doğrulaması yapılmıştır.","https://hecdn01.hemlak.com/img/eids-logo-mini.png","EİDS onaylı","Konyaaltı Limanda Denize 500m 5.Kat 2+1 Mobilyalı Kiralık Daire","Antalya / Konyaaltı / Liman Mah.","","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/4/7/7/3/1/6/4/4/2a55ad6c-8837-4730-8ee6-c2497c1fe70d.jpg","",""
"https://www.hepsiemlak.com/antalya-alanya-mahmutlar-kiralik/daire/70587-586","20","10.000","16-05-2025","Kiralık Daire","1 +
                          1","54 m²","1
                        Yaşında","Ara Kat","Elektronik İlan Doğrulama Sistemi yetki doğrulaması yapılmıştır.","https://hecdn01.hemlak.com/img/eids-logo-mini.png","EİDS onaylı","Mahmutlar'da Yeni Binada 1+1 Kiralık Daire...","Antalya / Alanya / Mahmutlar Mah.","https://www.hepsiemlak.com/emlak-ofisi/aldi-group-70587","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/9/4/9/1/4/6/4/4/47cfc55b-997d-421b-ac06-66ced6cbd599.jpg","Aldı Group","https://hecdnnw.hemlak.com/mncropresize/77/67/logo/7/8/5/0/7/0/4f18af1e-fa51-40d3-87b8-35b52b23b2bd.jpg"
"https://www.hepsiemlak.com/antalya-konyaalti-liman-kiralik/daire/134970-180","32","45.000","21-05-2025","Kiralık Daire","3 +
                          1","150 m²","5
                        Yaşında","4. Kat","","https://hecdnnw.hemlak.com/mncropresize/77/67/logo/0/7/9/4/3/1/c52422ed-f2c4-4660-a986-d8b396f0a8a1.jpeg","","Turvilla'dan Konyaaltı Liman İstanbul Konakları'nda 3+1 Kiralık Dublex","Antalya / Konyaaltı / Liman Mah.","https://www.hepsiemlak.com/emlak-ofisi/turvilla-134970","","Turvilla",""
"https://www.hepsiemlak.com/antalya-kepez-ahatli-kiralik/daire/93111-788","9","15.000","15-05-2025","Kiralık Daire","1 +
                          1","45 m²","1
                        Yaşında","Yüksek Giriş","Elektronik İlan Doğrulama Sistemi yetki doğrulaması yapılmıştır.","https://hecdn01.hemlak.com/img/eids-logo-mini.png","EİDS onaylı","Ahatlıda Temiz Eşyalı Kiralık 1+1 Daire","Antalya / Kepez / Ahatlı Mah.","https://www.hepsiemlak.com/emlak-ofisi/akalin-benim-evim-emlak-93111","https://hecdnnw.hemlak.com/mncropresize/77/67/logo/1/1/1/3/9/0/ef75ed59-2f21-4270-ba25-04d2f540f85f.jpg","Akalın Benim Evim Emlak",""
"https://www.hepsiemlak.com/antalya-manavgat-kizilot-kiralik/yazlik/0-44664087","3","25.000","21-05-2025","Kiralık Yazlık","2 +
                          1","85 m²","Sıfır Bina","2. Kat","Elektronik İlan Doğrulama Sistemi yetki doğrulaması yapılmıştır.","https://hecdn01.hemlak.com/img/eids-logo-mini.png","EİDS onaylı","Denize 5 Dakika Yürüme Mesafesinde","Antalya / Manavgat / Kızılot Mah.","","","",""
"https://www.hepsiemlak.com/antalya-alanya-tepe-kiralik/daire/154558-90","9","15.000","17-05-2025","Kiralık Daire","2 +
                          1","100 m²","10
                        Yaşında","Ara Kat","Elektronik İlan Doğrulama Sistemi yetki doğrulaması yapılmıştır.","https://hecdn01.hemlak.com/img/eids-logo-mini.png","EİDS onaylı","Alanya Tepe Mahallesinde Mustakil Tadında Deniz Manzaralı Orta Kat Eşyalı Daire","Antalya / Alanya / Tepe Mah.","","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/5/6/8/9/3/6/4/4/209d670e-26d4-4864-8d58-0295a326b5f5.jpg","",""
"https://www.hepsiemlak.com/antalya-alanya-mahmutlar-kiralik/daire/142040-236","9","15.000","16-05-2025","Kiralık Daire","2 +
                          1","90 m²","5
                        Yaşında","2. Kat","Elektronik İlan Doğrulama Sistemi yetki doğrulaması yapılmıştır.","https://hecdn01.hemlak.com/img/eids-logo-mini.png","EİDS onaylı","Demirtaş Mahallesinde Kiralık 2+1 Eşyalı Mahmutlar","Antalya / Alanya / Mahmutlar Mah.","","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/3/1/2/3/3/5/4/4/5de57192-7355-40e0-883c-f718873c84b7.jpg","",""
"https://www.hepsiemlak.com/antalya-alanya-kizlar-pinari-kiralik/daire/136471-492","15","22.500","16-05-2025","Kiralık Daire","5 +
                          4","80 m²","1
                        Yaşında","Ara Kat","","","","Alanya Hal Kavşağında 0 Binada Ayrı Mutfaklı Kiralık 2+1","Antalya / Alanya / Kızlar Pınarı Mah.","","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/8/8/5/9/3/6/4/4/decbc9b8-9afd-4d5d-bfe8-5c4be9b50bc0.jpg","",""
"https://www.hepsiemlak.com/antalya-aksu-altintas-kiralik/daire/130699-240","19","15.000","13-05-2025","Kiralık Daire","1 +
                          1","65 m²","Sıfır Bina","3. Kat","Elektronik İlan Doğrulama Sistemi yetki doğrulaması yapılmıştır.","https://hecdn01.hemlak.com/img/eids-logo-mini.png","EİDS onaylı","Altıntaş 'ta 1+1 İstenirse Eşyalı /eşyasız Kiralık Daire","Antalya / Aksu / Altıntaş Mah.","","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/6/0/4/2/2/6/4/4/4f8db3b3-2194-4af4-ad72-0d01d1ae22af.jpg","",""
"https://www.hepsiemlak.com/antalya-aksu-altintas-kiralik/daire/154664-19","36","15.000","17-05-2025","Kiralık Daire","1 +
                          1","45 m²","Sıfır Bina","Ara Kat","Elektronik İlan Doğrulama Sistemi yetki doğrulaması yapılmıştır.","https://hecdn01.hemlak.com/img/eids-logo-mini.png","EİDS onaylı","Altıntaş Açık Havuz, Açık Otoparklı Oturuma Hazır Lüks Ara Kat Kiralık 1+1","Antalya / Aksu / Altıntaş Mah.","","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/8/4/2/3/2/6/4/4/89350f77-ce83-41c0-9a46-b5f3c0cbab46.jpg","",""
"https://www.hepsiemlak.com/antalya-dosemealti-yesilbayir-kiralik/daire/138204-276","16","13.000","12-05-2025","Kiralık Daire","2 +
                          1","90 m²","10
                        Yaşında","Yüksek Giriş","Elektronik İlan Doğrulama Sistemi yetki doğrulaması yapılmıştır.","https://hecdn01.hemlak.com/img/eids-logo-mini.png","EİDS onaylı","Yeşilbayır Haşim İşcan Caddesi Üzeri 2+1 D.Gazlı Kiralık Daire","Antalya / Döşemealtı / Yeşilbayır Mah.","https://www.hepsiemlak.com/emlak-ofisi/ozkaynak-gayrimenkul-138204","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/6/5/0/6/1/6/4/4/c67aadc8-97ff-4816-af54-7c958f236c5d.jpg","Özkaynak Gayrimenkul","https://hecdnnw.hemlak.com/mncropresize/77/67/logo/4/0/2/8/3/1/792ae938-2924-4a3b-874e-e0ed4da475a7.jpg"
"https://www.hepsiemlak.com/antalya-gazipasa-pazarci-kiralik/daire/137748-1324","29","19.000","12-05-2025","Kiralık Daire","2 +
                          1","120 m²","4
                        Yaşında","Çatı Katı","Elektronik İlan Doğrulama Sistemi yetki doğrulaması yapılmıştır.","https://hecdn01.hemlak.com/img/eids-logo-mini.png","EİDS onaylı","Cılızlar Rezıdansta  Denız Manzaralı Genış 2+1 Dublex","Antalya / Gazipaşa / Pazarcı Mah.","https://www.hepsiemlak.com/emlak-ofisi/remax-crystal-137748","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/3/5/9/7/1/6/4/4/ebd7a8d7-7bcd-4a9d-bb92-c62ddcf5cff3.jpg","Remax Crystal","https://hecdnnw.hemlak.com/mncropresize/77/67/logo/8/4/7/7/3/1/c52bb63a-caad-4b17-a7e4-47dc81ae5e0f.jpg"
"https://www.hepsiemlak.com/antalya-dosemealti-ciplakli-kiralik/daire/0-44573883","20","13.000","04-05-2025","Kiralık Daire","1 +
                          1","50 m²","12
                        Yaşında","Yüksek Giriş","Elektronik İlan Doğrulama Sistemi yetki doğrulaması yapılmıştır.","https://hecdn01.hemlak.com/img/eids-logo-mini.png","EİDS onaylı","Toki Konutlarında Sahibinden Kiralık 1+1 Daire","Antalya / Döşemealtı / Çıplaklı Mah.","","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/3/8/8/3/7/5/4/4/3ecynU8D2L1-oEKgIENxV.jpg","",""
"https://www.hepsiemlak.com/antalya-kepez-kepez-kiralik/daire/10215-213","35","22.000","02-05-2025","Kiralık Daire","3 +
                          0","118 m²","1
                        Yaşında","10. Kat","Elektronik İlan Doğrulama Sistemi yetki doğrulaması yapılmıştır.","https://hecdn01.hemlak.com/img/eids-logo-mini.png","EİDS onaylı","Kepez Suryapı Kiralık 3+1 Sıfır Daire","Antalya / Kepez / Kepez Mah.","","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/4/5/3/2/6/5/4/4/ac4a95c5-6b33-41b7-9586-77bbaeec0229.jpg","",""
"https://www.hepsiemlak.com/antalya-dosemealti-bahceyaka-kiralik/daire/150961-61","23","20.000","01-05-2025","Kiralık Daire","2 +
                          1","105 m²","Sıfır Bina","5. Kat","Elektronik İlan Doğrulama Sistemi yetki doğrulaması yapılmıştır.","https://hecdn01.hemlak.com/img/eids-logo-mini.png","EİDS onaylı","Yeniköy’de Sıfır Bina, 2+1, Geniş Ve Ferah Kiralık Daire – 5. Kat!","Antalya / Döşemealtı / Bahçeyaka Mah.","","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/6/7/8/0/6/5/4/4/1746124437025-44560876.jpg","",""
"https://www.hepsiemlak.com/antalya-finike-yeni-kiralik/daire/0-44556547","18","12.000","07-05-2025","Kiralık Daire","1 +
                          1","65 m²","Sıfır Bina","5. Kat","Elektronik İlan Doğrulama Sistemi yetki doğrulaması yapılmıştır.","https://hecdn01.hemlak.com/img/eids-logo-mini.png","EİDS onaylı","Finike Yenimahallede Kiralık Daire","Antalya / Finike / Yeni Mah.","","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/7/4/5/6/5/5/4/4/1746081689530-44556547.jpg","",""
"https://www.hepsiemlak.com/antalya-aksu-altintas-kiralik/daire/691891-37","32","15.000","09-05-2025","Kiralık Daire","1 +
                          1","45 m²","Sıfır Bina","Kot 3","Elektronik İlan Doğrulama Sistemi yetki doğrulaması yapılmıştır.","https://hecdn01.hemlak.com/img/eids-logo-mini.png","EİDS onaylı","Antalya Altıntaş Mahallesinde Kiralık 1+1 Havuzlu, Kapalı Otoparklı , Asansörlü Daire","Antalya / Aksu / Altıntaş Mah.","","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/0/3/6/8/9/2/4/4/1741424367024-44298630.jpg","",""
"https://www.hepsiemlak.com/antalya-kepez-kultur-kiralik/daire/93111-789","8","12.000","15-05-2025","Kiralık Daire","Stüdyo","30 m²","4
                        Yaşında","4. Kat","Elektronik İlan Doğrulama Sistemi yetki doğrulaması yapılmıştır.","https://hecdn01.hemlak.com/img/eids-logo-mini.png","EİDS onaylı","Kültürde Erasta Avm Karşısı Kişiye Özel Stüdyo Daire","Antalya / Kepez / Kültür Mah.","https://www.hepsiemlak.com/emlak-ofisi/akalin-benim-evim-emlak-93111","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/8/2/8/2/3/6/4/4/1747299464-3644629-44632828.jpeg","Akalın Benim Evim Emlak","https://hecdnnw.hemlak.com/mncropresize/77/67/logo/1/1/1/3/9/0/ef75ed59-2f21-4270-ba25-04d2f540f85f.jpg"
"https://www.hepsiemlak.com/antalya-muratpasa-yesilbahce-kiralik/daire/120318-1335","52","55.000","14-05-2025","Kiralık Daire","3 +
                          1","180 m²","13
                        Yaşında","11. Kat","Elektronik İlan Doğrulama Sistemi yetki doğrulaması yapılmıştır.","https://hecdn01.hemlak.com/img/eids-logo-mini.png","EİDS onaylı","Önder Sağlam Dan Yeşilbahçe De Lüks Kiralık 3+1 Boş Daire","Antalya / Muratpaşa / Yeşilbahçe Mah.","https://www.hepsiemlak.com/emlak-ofisi/rose-estates-120318","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/8/7/8/8/2/6/4/4/8eac4d8f-a302-4707-8140-d57b5fe0abdd.jpg","Rose Estates","https://hecdnnw.hemlak.com/mncropresize/77/67/logo/8/1/3/0/2/1/320dfa1e-4041-4e76-ac4f-af82078358f2.png"
"https://www.hepsiemlak.com/antalya-dosemealti-yenikoy-kiralik/daire/138204-272","17","12.000","19-05-2025","Kiralık Daire","Stüdyo","57 m²","Sıfır Bina","2. Kat","Elektronik İlan Doğrulama Sistemi yetki doğrulaması yapılmıştır.","https://hecdn01.hemlak.com/img/eids-logo-mini.png","EİDS onaylı","Yeniköy Mah. Merkez Lokasyonda Katta - 1+1 - Sıfır Kiralık Daire","Antalya / Döşemealtı / Yeniköy Mah.","https://www.hepsiemlak.com/emlak-ofisi/ozkaynak-gayrimenkul-138204","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/1/2/2/6/0/6/4/4/a6bac1ee-b813-46d4-a2a8-9297a9dd51ad.jpg","Özkaynak Gayrimenkul","https://hecdnnw.hemlak.com/mncropresize/77/67/logo/4/0/2/8/3/1/792ae938-2924-4a3b-874e-e0ed4da475a7.jpg"
"https://www.hepsiemlak.com/antalya-alanya-oba-kiralik/daire/115537-96","35","18.500","09-05-2025","Kiralık Daire","1 +
                          1","60 m²","3
                        Yaşında","3. Kat","Elektronik İlan Doğrulama Sistemi yetki doğrulaması yapılmıştır.","https://hecdn01.hemlak.com/img/eids-logo-mini.png","EİDS onaylı","Oba Sea Pearl Garden Sitesinde Kiralık 1+1 Daire ( Aidat Dahil )","Antalya / Alanya / Oba Mah.","https://www.hepsiemlak.com/emlak-ofisi/tokus-insaat-115537","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/8/1/1/8/5/5/4/4/30939f44e25ac3d764c174ad4c2a0d185915b970bb564d6f1b9ddb4aaccb0aa22c0e539bab0c9b885a7fb19882974dfb.jpg","Tokuş İnşaat","https://hecdnnw.hemlak.com/mncropresize/77/67/logo/7/3/5/5/1/1/5c05340d-b112-45a2-b405-436be4d2ccff.jpg"
